product_id,category,brand,price
44600062,,shiseido,35.79
3900821,appliances.environment.water_heater,aqua,33.2
17200506,furniture.living_room.sofa,,543.1
1307067,computers.notebook,lenovo,251.74
1004237,electronics.smartphone,apple,1081.98
1480613,computers.desktop,pulser,908.62
17300353,,creed,380.96
31500053,,luminarc,41.16
28719074,apparel.shoes.keds,baden,102.71
1004545,electronics.smartphone,huawei,566.01
2900536,appliances.kitchen.microwave,elenberg,51.46
1005011,electronics.smartphone,samsung,900.64
3900746,appliances.environment.water_heater,haier,102.38
13500240,furniture.bedroom.bed,brw,93.18
23100006,,,357.79
1801995,electronics.video.tv,haier,193.03
10900029,appliances.kitchen.mixer,bosch,58.95
1306631,computers.notebook,hp,580.89
1005135,electronics.smartphone,apple,1747.79
1003306,electronics.smartphone,apple,588.77
4803399,electronics.audio.headphone,jbl,33.21
1480714,computers.desktop,pulser,921.49
1004739,electronics.smartphone,xiaomi,197.55
6200260,appliances.environment.air_heater,midea,47.62
34700031,,,151.87
3900990,appliances.environment.water_heater,ariston,122.18
27500014,,redmond,37.98
19001139,,gran-stone,67.58
28719071,apparel.shoes.keds,baden,102.71
13500046,furniture.bedroom.bed,,60.75
31501072,,,165.64
10800001,,maxwell,32.92
28600026,,,399.73
26200591,,,203.35
28714755,apparel.shoes,respect,51.22
3701388,appliances.environment.vacuum,dauscher,33.21
28718079,apparel.shoes.keds,respect,66.67
2700239,appliances.kitchen.refrigerators,atlant,283.12
28717908,apparel.shoes,burgerschuhe,102.45
3701244,appliances.environment.vacuum,elenberg,33.44
4300070,,timberk,38.59
3601505,appliances.kitchen.washer,samsung,463.15
12712064,,triangle,30.89
3600575,appliances.kitchen.washer,hotpoint-ariston,275.37
2900475,appliances.kitchen.microwave,gorenje,295.99
1004767,electronics.smartphone,samsung,254.82
1701111,computers.peripherals.monitor,acer,514.79
1003141,electronics.smartphone,apple,382.97
26400291,,lucente,188.94
31501163,,luminarc,128.45
1002544,electronics.smartphone,apple,464.13
26500313,,lucente,267.19
13500041,furniture.bedroom.bed,brw,80.31
4100126,,sony,326.62
19000296,,gran-stone,64.93
28717211,,respect,76.96
1005105,electronics.smartphone,apple,1415.48
1307135,computers.notebook,hp,320.35
1004659,electronics.smartphone,samsung,787.18
4804295,electronics.audio.headphone,xiaomi,23.13
1004873,electronics.smartphone,samsung,388.81
1005073,electronics.smartphone,samsung,1207.71
4802639,electronics.audio.headphone,sony,218.77
3900930,appliances.environment.water_heater,teploross,90.32
3701062,appliances.environment.vacuum,gorenje,90.07
4300262,,vitek,72.0
27500015,,kelli,36.6
10900026,appliances.kitchen.mixer,panasonic,40.8
1004870,electronics.smartphone,samsung,286.86
1306083,computers.notebook,hp,1512.78
1307004,computers.notebook,lenovo,290.61
1004856,electronics.smartphone,samsung,130.76
27700113,construction.tools.pump,leo,48.9
15100337,,,257.15
1004836,electronics.smartphone,samsung,241.19
26500144,,lucente,259.21
32601078,,okuma,32.18
1801555,electronics.video.tv,lg,462.25
1004497,electronics.smartphone,nokia,159.33
50500080,,krause,77.69
28708392,apparel.shoes.keds,strobbs,31.92
34700023,,,109.4
1004785,electronics.smartphone,huawei,278.55
15100008,,bts,488.82
10800076,,redmond,54.03
3900815,appliances.environment.water_heater,ariston,133.82
1801551,electronics.video.tv,haier,463.31
3500210,,vitek,90.61
1005115,electronics.smartphone,apple,975.57
26200210,,,98.84
3900774,appliances.environment.water_heater,artel,72.85
1004158,electronics.smartphone,samsung,952.41
1801796,electronics.video.tv,elenberg,411.83
1480734,computers.desktop,pulser,983.27
6200688,appliances.environment.air_heater,oasis,28.7
13100083,,skad,223.94
1003549,electronics.smartphone,samsung,344.64
1004720,electronics.smartphone,huawei,130.65
18000928,,samsung,20.57
4100138,,sony,413.91
18400215,,pride,231.15
1004258,electronics.smartphone,apple,735.05
1004792,electronics.smartphone,xiaomi,456.45
5100855,electronics.clocks,apple,617.52
1004321,electronics.smartphone,huawei,243.25
1003317,electronics.smartphone,apple,957.53
1003305,electronics.smartphone,apple,612.43
3701226,appliances.environment.vacuum,redmond,149.24
1480456,computers.desktop,pulser,1016.73
28714158,apparel.shoes.slipons,caprice,41.19
28715758,apparel.shoes.keds,nexpero,107.85
6200547,appliances.environment.air_heater,oasis,49.81
4100274,,microsoft,275.4
1004249,electronics.smartphone,apple,739.81
6200315,appliances.environment.air_heater,elenberg,33.44
26201000,,lucente,106.31
1004661,electronics.smartphone,samsung,885.07
1002528,electronics.smartphone,apple,643.23
18400077,,kicx,288.3
26201858,,,235.01
1307073,computers.notebook,acer,669.0
1004949,electronics.smartphone,oneplus,838.89
5100816,,xiaomi,29.51
13101547,,skad,195.63
17200142,furniture.living_room.sofa,,543.1
28716595,apparel.shoes,baden,76.96
29800033,furniture.living_room.chair,,169.86
32800211,,rush,158.56
10800132,,redmond,22.91
6200035,appliances.environment.air_heater,elenberg,56.6
21403078,electronics.clocks,casio,39.05
3500132,,kenwood,360.34
1005072,electronics.smartphone,samsung,1044.09
13100022,,skad,325.83
2700618,appliances.kitchen.refrigerators,indesit,349.79
4300376,,polaris,40.93
1005143,electronics.smartphone,apple,1541.61
21402696,electronics.clocks,,24.97
18400336,,kicx,324.08
3500093,,,33.46
50600002,auto.accessories.compressor,,89.81
1004838,electronics.smartphone,oppo,179.38
1003756,electronics.smartphone,nokia,72.28
50600000,auto.accessories.compressor,,102.42
5100239,electronics.clocks,samsung,257.38
1307370,computers.notebook,acer,257.15
3200321,appliances.kitchen.meat_grinder,redmond,91.38
1002532,electronics.smartphone,apple,642.69
10800025,,redmond,56.6
13104940,,kipardo,308.37
28715611,apparel.shoes.keds,fila,75.91
28718142,apparel.shoes,fassen,51.22
4300382,,xiaomi,115.28
6200514,appliances.environment.air_heater,ballu,15.42
1005100,electronics.smartphone,samsung,154.42
22700161,,stanley,16.28
37900169,,vega,37.99
4300285,,electrolux,102.94
1005020,electronics.smartphone,nokia,102.68
1307189,computers.notebook,lenovo,411.83
1004874,electronics.smartphone,samsung,383.51
27701120,construction.tools.pump,leo,158.46
3500149,,bosch,157.71
28717034,apparel.shoes.keds,strobbs,51.22
13400051,,,115.32
29800030,furniture.living_room.chair,,169.86
26204064,,,228.06
1005101,electronics.smartphone,xiaomi,450.46
1306359,computers.notebook,acer,643.49
19000997,,gran-stone,77.08
12711630,,yokohama,74.65
15100367,,,499.11
6200965,appliances.environment.air_heater,elenberg,36.01
5100705,electronics.clocks,garmin,1207.24
13400419,,brw,132.31
13400379,,sv,128.45
27700106,construction.tools.pump,leo,64.35
1306949,computers.notebook,acer,486.47
6700940,computers.components.videocards,gigabyte,437.33
22700129,,stels,72.05
2701605,appliances.kitchen.refrigerators,indesit,424.64
5300650,,vitek,12.84
1004946,electronics.smartphone,oneplus,746.22
2900418,appliances.kitchen.microwave,ava,53.23
16800186,furniture.kitchen.table,,347.5
13400136,,,88.26
15100034,,,282.89
3500292,,kenwood,231.64
5100561,electronics.clocks,garmin,859.73
26300089,,lucente,271.82
22700044,,total,43.73
16800331,furniture.kitchen.table,,154.16
12709227,,sailun,73.62
3700823,appliances.environment.vacuum,bosch,283.05
10800084,,clatronic,58.52
17000063,computers.desktop,trust,187.13
1004993,electronics.smartphone,oneplus,591.75
12300231,construction.tools.drill,dewalt,151.07
1004281,electronics.smartphone,bq,71.45
1004994,electronics.smartphone,oneplus,591.78
1004867,electronics.smartphone,xiaomi,452.81
4300260,,xiaomi,225.23
